municipality,muni_code,tax_year,millage
Sharpsburg Borough,852,2025,9.75
South Fayette Township,946,2018,4.73
South Fayette Township,946,2019,4.73
South Fayette Township,946,2020,4.73
South Fayette Township,946,2021,4.73
South Fayette Township,946,2022,4.73
South Fayette Township,946,2023,4.73
South Fayette Township,946,2024,4.73
South Fayette Township,946,2025,5.98
South Park Township,945,2018,3.062
South Park Township,945,2019,3.062
South Park Township,945,2020,3.062
South Park Township,945,2021,3.062
South Park Township,945,2022,3.062
South Park Township,945,2023,3.062
South Park Township,945,2024,3.062
South Park Township,945,2025,3.062
South Versailles Township,947,2018,2.9
South Versailles Township,947,2019,2.9
South Versailles Township,947,2020,2.9
South Versailles Township,947,2021,2.9
South Versailles Township,947,2022,2.9
South Versailles Township,947,2023,2.9
South Versailles Township,947,2024,2.9
South Versailles Township,947,2025,2.9
Springdale Borough,853,2018,7.75
Springdale Borough,853,2019,7.75
Springdale Borough,853,2020,8.25
Springdale Borough,853,2021,8.25
Springdale Borough,853,2022,8.25
Springdale Borough,853,2023,8.25
Springdale Borough,853,2024,8.25
Springdale Borough,853,2025,9.75
Springdale Township,948,2018,6.5
Springdale Township,948,2019,6.5
Springdale Township,948,2020,6.5
Springdale Township,948,2021,6.5
Springdale Township,948,2022,6.5
Springdale Township,948,2023,6.5
Springdale Township,948,2024,6.5
Springdale Township,948,2025,9.5
Stowe Township,949,2018,10.48
Stowe Township,949,2019,10.48
Stowe Township,949,2020,10.48
Stowe Township,949,2021,10.48
Stowe Township,949,2022,10.48
Stowe Township,949,2023,10.48
Stowe Township,949,2024,10.48
Stowe Township,949,2025,10.48
Swissvale Borough,854,2018,8
Swissvale Borough,854,2019,8
Swissvale Borough,854,2020,8
Swissvale Borough,854,2021,8
Swissvale Borough,854,2022,8
Swissvale Borough,854,2023,9
Swissvale Borough,854,2024,9
Swissvale Borough,854,2025,9
Tarentum Borough,855,2018,5.48
Tarentum Borough,855,2019,5.48
Tarentum Borough,855,2020,5.48
Tarentum Borough,855,2021,5.48
Tarentum Borough,855,2022,5.48
Tarentum Borough,855,2023,5.48
Tarentum Borough,855,2024,5.48
Tarentum Borough,855,2025,5.98
Thornburg Borough,856,2018,5.6
Thornburg Borough,856,2019,5.6
Thornburg Borough,856,2020,5.6
Thornburg Borough,856,2021,5.6
Thornburg Borough,856,2022,6.6
Thornburg Borough,856,2023,6.6
Thornburg Borough,856,2024,6.6
Thornburg Borough,856,2025,6.6
Trafford Borough,857,2018,31.5
Trafford Borough,857,2019,31.5
Trafford Borough,857,2020,31.5
Trafford Borough,857,2021,31.5
Trafford Borough,857,2022,31.5
Trafford Borough,857,2023,31.5
Trafford Borough,857,2024,31.5
Trafford Borough,857,2025,31.5
Turtle Creek Borough,858,2018,9.5
Turtle Creek Borough,858,2019,9.5
Turtle Creek Borough,858,2020,9.5
Turtle Creek Borough,858,2021,9.5
Turtle Creek Borough,858,2022,9.5
Turtle Creek Borough,858,2023,10
Turtle Creek Borough,858,2024,10
Turtle Creek Borough,858,2025,10
Upper St. Clair Township,950,2018,3.83
Upper St. Clair Township,950,2019,3.83
Upper St. Clair Township,950,2020,3.83
Upper St. Clair Township,950,2021,3.83
Upper St. Clair Township,950,2022,3.83
Upper St. Clair Township,950,2023,3.83
Upper St. Clair Township,950,2024,3.83
Upper St. Clair Township,950,2025,3.83
Verona Borough,859,2018,7.8
Verona Borough,859,2019,7.8
Verona Borough,859,2020,7.8
Verona Borough,859,2021,7.8
Verona Borough,859,2022,9.7
Verona Borough,859,2023,9.7
Verona Borough,859,2024,9.7
Verona Borough,859,2025,10.7
Versailles Borough,860,2018,7
Versailles Borough,860,2019,8
Versailles Borough,860,2020,8
Versailles Borough,860,2021,8
Versailles Borough,860,2022,8
Versailles Borough,860,2023,8
Versailles Borough,860,2024,8
Versailles Borough,860,2025,8
Wall Borough,861,2018,7.22
Wall Borough,861,2019,7.22
Wall Borough,861,2020,7.22
Wall Borough,861,2021,7.22
Wall Borough,861,2022,7.22
Wall Borough,861,2023,7.22
Wall Borough,861,2024,9
Wall Borough,861,2025,9
West Deer Township,952,2018,2.99
West Deer Township,952,2019,2.99
West Deer Township,952,2020,2.99
West Deer Township,952,2021,2.99
West Deer Township,952,2022,2.99
West Deer Township,952,2023,2.99
West Deer Township,952,2024,2.9
West Deer Township,952,2025,2.9
West Elizabeth Borough,862,2018,3.93
West Elizabeth Borough,862,2019,4.55
West Elizabeth Borough,862,2020,4.55
West Elizabeth Borough,862,2021,4.55
West Elizabeth Borough,862,2022,4.55
West Elizabeth Borough,862,2023,4.55
West Elizabeth Borough,862,2024,4.55
West Elizabeth Borough,862,2025,4.55
West Homestead Borough,863,2018,8.8
West Homestead Borough,863,2019,8.8
West Homestead Borough,863,2020,8.8
West Homestead Borough,863,2021,8.8
West Homestead Borough,863,2022,8.8
West Homestead Borough,863,2023,8.8
West Homestead Borough,863,2024,8.8
West Homestead Borough,863,2025,11.75
West Mifflin Borough,870,2018,7.88
West Mifflin Borough,870,2019,8.88
West Mifflin Borough,870,2020,9.38
West Mifflin Borough,870,2021,9.38
West Mifflin Borough,870,2022,9.98
West Mifflin Borough,870,2023,9.98
West Mifflin Borough,870,2024,10.53
West Mifflin Borough,870,2025,10.53
West View Borough,864,2018,5.4
West View Borough,864,2019,5.4
West View Borough,864,2020,6.3
West View Borough,864,2021,6.3
West View Borough,864,2022,6.3
West View Borough,864,2023,6.3
West View Borough,864,2024,6.3
West View Borough,864,2025,6.3
Whitaker Borough,865,2018,10.5
Whitaker Borough,865,2019,10.5
Whitaker Borough,865,2020,10.5
Whitaker Borough,865,2021,10.5
Whitaker Borough,865,2022,10.5
Whitaker Borough,865,2023,11.5
Whitaker Borough,865,2024,12.5
Whitaker Borough,865,2025,12.5
White Oak Borough,875,2018,6.41
White Oak Borough,875,2019,6.41
White Oak Borough,875,2020,6.41
White Oak Borough,875,2021,8
White Oak Borough,875,2022,8
White Oak Borough,875,2023,8
White Oak Borough,875,2024,9
White Oak Borough,875,2025,9
Whitehall Borough,874,2018,4.42
Whitehall Borough,874,2019,4.42
Whitehall Borough,874,2020,4.42
Whitehall Borough,874,2021,4.42
Whitehall Borough,874,2022,4.42
Whitehall Borough,874,2023,4.42
Whitehall Borough,874,2024,4.92
Whitehall Borough,874,2025,5.42
Wilkins Township,953,2018,5.675
Wilkins Township,953,2019,5.674
Wilkins Township,953,2020,5.674
Wilkins Township,953,2021,5.674
Wilkins Township,953,2022,6.174
Wilkins Township,953,2023,6.174
Wilkins Township,953,2024,6.174
Wilkins Township,953,2025,7.174
Wilkinsburg Borough,866,2018,14
Wilkinsburg Borough,866,2019,14
Wilkinsburg Borough,866,2020,14
Wilkinsburg Borough,866,2021,14
Wilkinsburg Borough,866,2022,14
Wilkinsburg Borough,866,2023,14
Wilkinsburg Borough,866,2024,14
Wilkinsburg Borough,866,2025,14
Wilmerding Borough,867,2018,10
Wilmerding Borough,867,2019,11
Wilmerding Borough,867,2020,11
Wilmerding Borough,867,2021,11
Wilmerding Borough,867,2022,13
Wilmerding Borough,867,2023,13
Wilmerding Borough,867,2024,13
Wilmerding Borough,867,2025,13
